SEANCE;CODE_INDICE;LIB_INDICE;INDICE_JOUR    ;INDICE_VEILLE;VARIATION_VEILLE;INDICE_PLUS_HAUT;INDICE_PLUS_BAS
02/01/2025   ;905001    ;TUNINDEX          ;9905.323            ;9953.709            ;-0.486              ;9905.323            ;9905.323            
02/01/2025   ;905002    ;STES FINANCIERES  ;7445.082            ;7473.726            ;-0.383              ;7445.082            ;7445.082            
02/01/2025   ;905003    ;BANQUES           ;6902.877            ;6929.885            ;-0.390              ;6902.877            ;6902.877            
02/01/2025   ;905004    ;ASSURANCES        ;15133.360           ;15212.527           ;-0.520              ;15133.360           ;15133.360           
02/01/2025   ;905005    ;SERVICES FINANCIER;12490.431           ;12507.026           ;-0.133              ;12490.431           ;12490.431           
02/01/2025   ;905008    ;SERVICES AUX CONSO;3163.207            ;3128.229            ;1.118               ;3163.207            ;3163.207            
02/01/2025   ;905009    ;DISTRIBUTION      ;4983.618            ;4928.511            ;1.118               ;4983.618            ;4983.618            
02/01/2025   ;905013    ;BIENS CONSOMMATION;8048.013            ;8086.871            ;-0.481              ;8048.013            ;8048.013            
02/01/2025   ;905015    ;AGROALIMENT BOISSO;9826.859            ;9862.257            ;-0.359              ;9826.859            ;9826.859            
02/01/2025   ;905016    ;PROD MENAGER SOIN ;2631.609            ;2654.401            ;-0.859              ;2631.609            ;2631.609            
02/01/2025   ;905017    ;INDUSTRIES        ;1809.573            ;1837.227            ;-1.505              ;1809.573            ;1809.573            
02/01/2025   ;905018    ;BATIM MATE CONSTRU;797.876             ;810.347             ;-1.539              ;797.876             ;797.876             
02/01/2025   ;905020    ;MATERIAUX DE BASE ;5072.964            ;5106.252            ;-0.652              ;5072.964            ;5072.964            
02/01/2025   ;905028    ;TUNINDEX20        ;4361.839            ;4383.962            ;-0.505              ;4361.839            ;4361.839            
03/01/2025   ;905001    ;TUNINDEX          ;9893.270            ;9905.323            ;-0.122              ;9905.323            ;9893.270            
03/01/2025   ;905002    ;STES FINANCIERES  ;7434.537            ;7445.082            ;-0.142              ;7445.082            ;7434.537            
03/01/2025   ;905003    ;BANQUES           ;6899.078            ;6902.877            ;-0.055              ;6902.877            ;6899.078            
03/01/2025   ;905004    ;ASSURANCES        ;15014.196           ;15133.360           ;-0.787              ;15133.360           ;15014.196           
03/01/2025   ;905005    ;SERVICES FINANCIER;12379.626           ;12490.431           ;-0.887              ;12490.431           ;12379.626           
03/01/2025   ;905008    ;SERVICES AUX CONSO;3145.655            ;3163.207            ;-0.555              ;3163.207            ;3145.655            
03/01/2025   ;905009    ;DISTRIBUTION      ;4955.965            ;4983.618            ;-0.555              ;4983.618            ;4955.965            
03/01/2025   ;905013    ;BIENS CONSOMMATION;8034.350            ;8048.013            ;-0.170              ;8048.013            ;8034.350            
03/01/2025   ;905015    ;AGROALIMENT BOISSO;9822.506            ;9826.859            ;-0.044              ;9826.859            ;9822.506            
03/01/2025   ;905016    ;PROD MENAGER SOIN ;2616.818            ;2631.609            ;-0.562              ;2631.609            ;2616.818            
03/01/2025   ;905017    ;INDUSTRIES        ;1813.204            ;1809.573            ;0.201               ;1813.204            ;1809.573            
03/01/2025   ;905018    ;BATIM MATE CONSTRU;796.238             ;797.876             ;-0.205              ;797.876             ;796.238             
03/01/2025   ;905020    ;MATERIAUX DE BASE ;5047.171            ;5072.964            ;-0.508              ;5072.964            ;5047.171            
03/01/2025   ;905028    ;TUNINDEX20        ;4357.860            ;4361.839            ;-0.091              ;4361.839            ;4357.860            
06/01/2025   ;905001    ;TUNINDEX          ;9903.902            ;9893.270            ;0.107               ;9905.323            ;9893.270            
06/01/2025   ;905002    ;STES FINANCIERES  ;7458.757            ;7434.537            ;0.326               ;7458.757            ;7434.537            
06/01/2025   ;905003    ;BANQUES           ;6921.034            ;6899.078            ;0.318               ;6921.034            ;6899.078            
06/01/2025   ;905004    ;ASSURANCES        ;15086.082           ;15014.196           ;0.479               ;15133.360           ;15014.196           
06/01/2025   ;905005    ;SERVICES FINANCIER;12415.531           ;12379.626           ;0.290               ;12490.431           ;12379.626           
06/01/2025   ;905008    ;SERVICES AUX CONSO;3132.261            ;3145.655            ;-0.426              ;3163.207            ;3132.261            
06/01/2025   ;905009    ;DISTRIBUTION      ;4934.863            ;4955.965            ;-0.426              ;4983.618            ;4934.863            
06/01/2025   ;905013    ;BIENS CONSOMMATION;8007.847            ;8034.350            ;-0.330              ;8048.013            ;8007.847            
06/01/2025   ;905015    ;AGROALIMENT BOISSO;9780.842            ;9822.506            ;-0.424              ;9826.859            ;9780.842            
06/01/2025   ;905016    ;PROD MENAGER SOIN ;2615.942            ;2616.818            ;-0.034              ;2631.609            ;2615.942            
06/01/2025   ;905017    ;INDUSTRIES        ;1810.810            ;1813.204            ;-0.132              ;1813.204            ;1809.573            
06/01/2025   ;905018    ;BATIM MATE CONSTRU;802.007             ;796.238             ;0.725               ;802.007             ;796.238             
06/01/2025   ;905020    ;MATERIAUX DE BASE ;5086.430            ;5047.171            ;0.778               ;5086.430            ;5047.171            
06/01/2025   ;905028    ;TUNINDEX20        ;4360.508            ;4357.860            ;0.061               ;4361.839            ;4357.860            
07/01/2025   ;905001    ;TUNINDEX          ;9858.687            ;9903.902            ;-0.457              ;9905.323            ;9858.687            
07/01/2025   ;905002    ;STES FINANCIERES  ;7442.009            ;7458.757            ;-0.225              ;7458.757            ;7434.537            
07/01/2025   ;905003    ;BANQUES           ;6901.836            ;6921.034            ;-0.277              ;6921.034            ;6899.078            
07/01/2025   ;905004    ;ASSURANCES        ;15028.718           ;15086.082           ;-0.380              ;15133.360           ;15014.196           
07/01/2025   ;905005    ;SERVICES FINANCIER;12516.579           ;12415.531           ;0.814               ;12516.579           ;12379.626           
07/01/2025   ;905008    ;SERVICES AUX CONSO;3145.954            ;3132.261            ;0.437               ;3163.207            ;3132.261            
07/01/2025   ;905009    ;DISTRIBUTION      ;4956.437            ;4934.863            ;0.437               ;4983.618            ;4934.863            
07/01/2025   ;905013    ;BIENS CONSOMMATION;7913.264            ;8007.847            ;-1.181              ;8048.013            ;7913.264            
07/01/2025   ;905015    ;AGROALIMENT BOISSO;9640.095            ;9780.842            ;-1.439              ;9826.859            ;9640.095            
07/01/2025   ;905016    ;PROD MENAGER SOIN ;2606.157            ;2615.942            ;-0.374              ;2631.609            ;2606.157            
07/01/2025   ;905017    ;INDUSTRIES        ;1797.845            ;1810.810            ;-0.716              ;1813.204            ;1797.845            
07/01/2025   ;905018    ;BATIM MATE CONSTRU;798.257             ;802.007             ;-0.468              ;802.007             ;796.238             
07/01/2025   ;905020    ;MATERIAUX DE BASE ;5080.665            ;5086.430            ;-0.113              ;5086.430            ;5047.171            
07/01/2025   ;905028    ;TUNINDEX20        ;4336.370            ;4360.508            ;-0.554              ;4361.839            ;4336.370            
08/01/2025   ;905001    ;TUNINDEX          ;9852.655            ;9858.687            ;-0.061              ;9905.323            ;9852.655            
08/01/2025   ;905002    ;STES FINANCIERES  ;7430.803            ;7442.009            ;-0.151              ;7458.757            ;7430.803            
08/01/2025   ;905003    ;BANQUES           ;6893.439            ;6901.836            ;-0.122              ;6921.034            ;6893.439            
08/01/2025   ;905004    ;ASSURANCES        ;15021.122           ;15028.718           ;-0.051              ;15133.360           ;15014.196           
08/01/2025   ;905005    ;SERVICES FINANCIER;12425.469           ;12516.579           ;-0.728              ;12516.579           ;12379.626           
08/01/2025   ;905008    ;SERVICES AUX CONSO;3148.420            ;3145.954            ;0.078               ;3163.207            ;3132.261            
08/01/2025   ;905009    ;DISTRIBUTION      ;4960.323            ;4956.437            ;0.078               ;4983.618            ;4934.863            
08/01/2025   ;905013    ;BIENS CONSOMMATION;7928.964            ;7913.264            ;0.198               ;8048.013            ;7913.264            
08/01/2025   ;905015    ;AGROALIMENT BOISSO;9670.094            ;9640.095            ;0.311               ;9826.859            ;9640.095            
08/01/2025   ;905016    ;PROD MENAGER SOIN ;2602.227            ;2606.157            ;-0.151              ;2631.609            ;2602.227            
08/01/2025   ;905017    ;INDUSTRIES        ;1796.376            ;1797.845            ;-0.082              ;1813.204            ;1796.376            
08/01/2025   ;905018    ;BATIM MATE CONSTRU;790.141             ;798.257             ;-1.017              ;802.007             ;790.141             
08/01/2025   ;905020    ;MATERIAUX DE BASE ;5067.405            ;5080.665            ;-0.261              ;5086.430            ;5047.171            
08/01/2025   ;905028    ;TUNINDEX20        ;4334.940            ;4336.370            ;-0.033              ;4361.839            ;4334.940            
09/01/2025   ;905001    ;TUNINDEX          ;9880.662            ;9852.655            ;0.284               ;9905.323            ;9852.655            
09/01/2025   ;905002    ;STES FINANCIERES  ;7422.694            ;7430.803            ;-0.109              ;7458.757            ;7422.694            
09/01/2025   ;905003    ;BANQUES           ;6882.489            ;6893.439            ;-0.159              ;6921.034            ;6882.489            
09/01/2025   ;905004    ;ASSURANCES        ;15071.224           ;15021.122           ;0.334               ;15133.360           ;15014.196           
09/01/2025   ;905005    ;SERVICES FINANCIER;12456.255           ;12425.469           ;0.248               ;12516.579           ;12379.626           
09/01/2025   ;905008    ;SERVICES AUX CONSO;3165.751            ;3148.420            ;0.550               ;3165.751            ;3132.261            
