date,symbol,log_return_pred,log_return_actual,signal,strategy_return,position_change,transaction_cost,net_return,cumulative_return
2013-01-18,721001,0.0003578757,0.022472855852058576,1,0.022472855852058576,,,,
2013-01-21,721001,-0.0010571055,-0.0035618915663605745,0,-0.0,1.0,0.001,-0.001,0.999
2013-01-22,721001,-0.00080991443,-0.0026797693571155574,0,-0.0,0.0,0.0,-0.0,0.999
2013-01-23,721001,-0.0013050936,0.0,0,0.0,0.0,0.0,0.0,0.999
2013-01-25,721001,7.143529e-05,-0.010791471632764319,1,-0.010791471632764319,1.0,0.001,-0.011791471632764318,0.9872203198388685
2013-01-28,721001,-0.0014144108,0.0,0,0.0,1.0,0.001,-0.001,0.9862330995190296
2013-01-29,721001,-0.000771253,-0.0027161628287777004,0,-0.0,0.0,0.0,-0.0,0.9862330995190296
2013-01-30,721001,4.5722394e-05,0.0,1,0.0,1.0,0.001,-0.001,0.9852468664195105
2013-01-31,721001,0.0013590181,0.0,1,0.0,0.0,0.0,0.0,0.9852468664195105
2013-02-01,721001,2.4402207e-05,0.0063262750528773806,1,0.0063262750528773806,0.0,0.0,0.0063262750528773806,0.9914798090914659
2013-02-04,721001,-0.003042833,0.0,0,0.0,1.0,0.001,-0.001,0.9904883292823745
2013-02-05,721001,-0.00833541,-0.004514680354526583,0,-0.0,0.0,0.0,-0.0,0.9904883292823745
2013-02-06,721001,0.006491816,-0.03875023560990524,1,-0.03875023560990524,1.0,0.001,-0.03975023560990524,0.9511161848245387
2013-02-07,721001,1.4066897e-05,0.006563549114003847,1,0.006563549114003847,0.0,0.0,0.006563549114003847,0.9573588826167586
2013-02-08,721001,7.71429e-05,-0.009389740349839032,1,-0.009389740349839032,0.0,0.0,-0.009389740349839032,0.9483695312873752
2013-02-11,721001,0.0002597837,0.001885014695771204,1,0.001885014695771204,0.0,0.0,0.001885014695771204,0.9501572217908736
2013-02-12,721001,-0.00078966666,0.008438868645864824,0,0.0,1.0,0.001,-0.001,0.9492070645690827
2013-02-13,721001,-0.00036498357,-0.0009341429917970186,0,-0.0,0.0,0.0,-0.0,0.9492070645690827
2013-02-14,721001,0.00020110824,-0.0028076761541984134,1,-0.0028076761541984134,1.0,0.001,-0.0038076761541984134,0.9455927914639263
2013-02-15,721001,-7.8754005e-05,0.0037418191459955698,0,0.0,1.0,0.001,-0.001,0.9446471986724624
2013-02-18,721001,-0.0024206433,0.0,0,0.0,0.0,0.0,0.0,0.9446471986724624
2013-02-19,721001,-0.0005109339,0.003727870114014391,0,0.0,0.0,0.0,0.0,0.9446471986724624
2013-02-20,721001,-0.0008601056,0.004640379556502301,0,0.0,0.0,0.0,0.0,0.9446471986724624
2013-02-21,721001,-0.0010051727,0.0,0,0.0,0.0,0.0,0.0,0.9446471986724624
